rank,targets,value (hex),name
122,0.00%,20,KRB5_WITH_RC4_128_SHA
123,0.00%,c101,GOSTR341112_256_WITH_MAGMA_CTR_OMAC
124,0.00%,c02e,ECDH_ECDSA_WITH_AES_256_GCM_SHA384
125,0.00%,c03d,RSA_WITH_ARIA_256_CBC_SHA384
126,0.00%,c03c,RSA_WITH_ARIA_128_CBC_SHA256
127,0.00%,c102,GOSTR341112_256_WITH_28147_CNT_IMIT
128,0.00%,c103,GOSTR341112_256_WITH_KUZNYECHIK_MGM_L
129,0.00%,c031,ECDH_RSA_WITH_AES_128_GCM_SHA256
130,0.00%,c02d,ECDH_ECDSA_WITH_AES_128_GCM_SHA256
131,0.00%,24,KRB5_WITH_RC4_128_MD5
132,0.00%,1f,KRB5_WITH_3DES_EDE_CBC_SHA
133,0.00%,c032,ECDH_RSA_WITH_AES_256_GCM_SHA384
134,0.00%,c07c,DHE_RSA_WITH_CAMELLIA_128_GCM_SHA256
135,0.00%,c029,ECDH_RSA_WITH_AES_128_CBC_SHA256
136,0.00%,c106,GOSTR341112_256_WITH_MAGMA_MGM_S
137,0.00%,c02a,ECDH_RSA_WITH_AES_256_CBC_SHA384
138,0.00%,c026,ECDH_ECDSA_WITH_AES_256_CBC_SHA384
139,0.00%,1a,DH_anon_WITH_DES_CBC_SHA
140,0.00%,21,KRB5_WITH_IDEA_CBC_SHA
141,0.00%,c105,GOSTR341112_256_WITH_KUZNYECHIK_MGM_S
142,0.00%,c005,ECDH_ECDSA_WITH_AES_256_CBC_SHA
143,0.00%,25,KRB5_WITH_IDEA_CBC_MD5
144,0.00%,c025,ECDH_ECDSA_WITH_AES_128_CBC_SHA256
145,0.00%,23,KRB5_WITH_3DES_EDE_CBC_MD5
146,0.00%,c00f,ECDH_RSA_WITH_AES_256_CBC_SHA
147,0.00%,c00e,ECDH_RSA_WITH_AES_128_CBC_SHA
148,0.00%,c004,ECDH_ECDSA_WITH_AES_128_CBC_SHA
149,0.00%,17,DH_anon_EXPORT_WITH_RC4_40_MD5
150,0.00%,91,DHE_PSK_WITH_AES_256_CBC_SHA
151,0.00%,90,DHE_PSK_WITH_AES_128_CBC_SHA
152,0.00%,c002,ECDH_ECDSA_WITH_RC4_128_SHA
